beer_name,brewery,style,abv,ibu,comment,rating,date,brewery_country,brewery_city,brewery_state
Illumination Double IPA,Central Waters Brewing Company,IPA - Imperial / Double,9,108,Tasty Double IPA,4,3/1/15,United States,Amherst,WI
Brewhouse Coffee Stout,Central Waters Brewing Company,Stout - American,8.2,0,Excellent!,5,3/1/15,United States,Amherst,WI
Fat Tire,New Belgium Brewing Company,Red Ale - American Amber / Red,5.2,22,,3.5,3/1/15,United States,Fort Collins,CO
Ouisconsing Red Ale,Central Waters Brewing Company,Red Ale - American Amber / Red,5.2,0,Nothing spectacular but decent red,3,3/1/15,United States,Amherst,WI
Mojo IPA,Boulder Beer Company,IPA - American,7.2,70,A little bitter but not too shabby,3.5,3/2/15,United States,Boulder,CO
Fixed Gear,Lakefront Brewery,Red Ale - American Amber / Red,6.8,33,Good red + hoppy ale,4,3/4/15,United States,Milwaukee,WI
Creamy Dark,Jacob Leinenkugel Brewing Company,Lager - Black,4.9,20,Nothing special but it's pretty good,3.5,3/6/15,United States,Chippewa Falls,WI
Spiced Orange,John Crabbie & Co,Ginger Beer,4.8,0,Pretty tasty,4,3/7/15,Scotland,Glasgow,"City of Glasgow, G3 7QF"
K-Town Brown,Public Craft Brewing Co.,Brown Ale - American,4.8,21,Pretty good brown,4,3/18/15,United States,Kenosha,WI
Permanent Funeral,3 Floyds Brewing Company,IPA - Imperial / Double,10.5,100,,4.5,3/21/15,United States,Munster,IN
Bourbon County Brand Stout,Goose Island Beer Co.,Stout - American Imperial / Double,15,60,,4.5,3/23/15,United States,Chicago,IL
Fresh Squeezed IPA,Deschutes Brewery,IPA - American,6.4,60,Beer-fection!  My favorite beer on the planet.,5,3/26/15,United States,Bend,OR
Road Slush,New Glarus Brewing Company,Stout - Oatmeal,6.2,0,,4,3/26/15,United States,New Glarus,WI
Lilja's Hell Hound Brown Ale,Pangaea Beer Company,Brown Ale - American,7,91,Decent,3.5,3/27/15,United States,Wisconsin Rapids,WI
Satin Solitude Imperial Stout,Central Waters Brewing Company,Stout - American Imperial / Double,8.5,0,,4,3/27/15,United States,Amherst,WI
Moose Drool Brown Ale,Big Sky Brewing Company,Brown Ale - American,5.1,0,,4.5,3/27/15,United States,Missoula,MT
Grapefruit Sculpin,Ballast Point Brewing & Spirits,IPA - American,7,70,Yum!,4.5,3/29/15,United States,San Diego,CA
Curmudgeon Old Ale (2014),Founders Brewing Co.,Old Ale,9.8,50,Funky,3,3/29/15,United States,Grand Rapids,MI
2X Stout (Double Milk Stout),Southern Tier Brewing Company,Stout - Milk / Sweet,7.5,40,Decent,3,3/29/15,United States,Lakewood,NY
Night Time Ale,Lagunitas Brewing Company,IPA - Black / Cascadian Dark Ale,8.2,65,Tasty IBA!,4,3/30/15,United States,Petaluma,CA
Polygamy Nitro Porter,Wasatch Brewery,Porter - American,6,0,I think the non-nitro is a little better.,3.5,3/30/15,United States,Park City,UT
KCCO Black Lager,Resignation Brewery,Lager - Black,5.1,22,,3.5,3/31/15,United States,Austin,TX
Mudpuppy Porter,Central Waters Brewing Company,Porter - American,5.5,0,Yum!  Grand opening of a new Fat Bruce's!,4.5,4/3/15,United States,Amherst,WI
Hop Henge Experimental IPA (2014),Deschutes Brewery,IPA - Imperial / Double,9.3,99,Yum!,5,4/4/15,United States,Bend,OR
Cocoa Mole (Lips of Faith),New Belgium Brewing Company,Chili Beer,9,20,Meh.  Way too much cinnamon.  A little too overpowering.,2.5,4/4/15,United States,Fort Collins,CO
Å»ywiec,Grupa Å»ywiec,Lager - Pale,5.6,0,Meh.  Pilsner.  Meh.,2,4/4/15,Poland,Å»ywiec,Å_lÄ…skie
Longboard Island Lager,Kona Brewing Company,Lager - Pale,4.6,20,Pretty good for a lager,3.5,4/8/15,United States,Kailua-Kona,HI
Lilja's Sasquatch Stout,Pangaea Beer Company,Stout - American,7,0,,4,4/10/15,United States,Wisconsin Rapids,WI
Big Mountain Pale Ale,Alaskan Brewing Co.,Pale Ale - American,5.7,45,Hoppy and tasty,4,4/13/15,United States,Juneau,AK
Not Your Father's Root Beer (5.9%),Small Town Brewery,Root Beer,5.9,0,Refreshing and pretty tasty,4,4/15/15,United States,Wauconda,IL
Bigfoot (2014),Sierra Nevada Brewing Co.,Barleywine - American,9.6,90,My first barleywine style.  Not the shock I expected.  Pretty good.,3.5,4/15/15,United States,Chico,CA
Really Cool Waterslides IPA,3 Sheeps Brewing Company,IPA - American,6.2,60,,3.5,4/16/15,United States,Sheboygan,WI
Hopster,New Glarus Brewing Company,Hefeweizen,5.95,0,Decent for a wheat beer,3.5,4/20/15,United States,New Glarus,WI
Sculpin IPA,Ballast Point Brewing & Spirits,IPA - American,7,70,Excellent IPA,4.5,4/21/15,United States,San Diego,CA
Hopslam Ale,Bell's Brewery,IPA - Imperial / Double,10,70,"Smooth, hoppy, and delicious",4.5,4/22/15,United States,Galesburg,MI
Enigma (Thumbprint) (2015),New Glarus Brewing Company,Sour Ale,5.5,0,Meh.  Not a very good sour.,2,4/23/15,United States,New Glarus,WI
Red Chair NWPA,Deschutes Brewery,Pale Ale - American,6.2,60,Pretty good pale ale but nothing special.,3,4/26/15,United States,Bend,OR
Hog Heaven Barleywine,Avery Brewing Co.,Barleywine - American,9.2,104,Good barleywine.  Dry-hopped and pretty tasty.,3.75,4/28/15,United States,Boulder,CO
IPL,Jacob Leinenkugel Brewing Company,Lager - IPL (India Pale Lager),6,57,,3.75,4/30/15,United States,Chippewa Falls,WI
Black Jack Porter,Left Hand Brewing Company,Porter - English,6.8,35,Yum,4,4/30/15,United States,Longmont,CO
Grateful Red,"Capital Brewery Co., Inc.",IPA - American,5.3,65,,3.5,4/30/15,United States,Middleton,WI
16-Bit Double Pale Ale,Tallgrass Brewing Company,Pale Ale - American,6.2,55,,4,4/30/15,United States,Manhattan,KS
Illusive Traveler Grapefruit Shandy,Traveler Beer Co.,Radler,4.4,7,Very grapefruity but pretty refreshing,4.25,4/30/15,United States,Burlington,VT
Black Butte Porter,Deschutes Brewery,Porter - American,5.2,30,Yum!  One of my favorites,4.75,5/1/15,United States,Bend,OR
Chainbreaker White IPA,Deschutes Brewery,IPA - White,5.6,55,A little too wheaty,2.75,5/2/15,United States,Bend,OR
Obsidian Stout,Deschutes Brewery,Stout - American,6.4,55,Tasty stout,4.25,5/3/15,United States,Bend,OR
Green 19 IPA,Titletown Brewing Company,IPA - American,6.5,55,Missing a little citrus,3.5,5/16/15,United States,Green Bay,WI
Dark Helmet Schwartzbier,Titletown Brewing Company,Schwarzbier,5.5,25,Good dark beer,4,5/16/15,United States,Green Bay,WI
Busted Nut,Titletown Brewing Company,Blonde Ale - Belgian Blonde / Golden,8.5,0,,3,5/16/15,United States,Green Bay,WI
Mutiny IPA,"Capital Brewery Co., Inc.",IPA - American,6.2,70,Not very smooth with too much bitter kick,2.75,5/16/15,United States,Middleton,WI
Samuel Adams Summer Ale,Boston Beer Company (Samuel Adams),Pale Wheat Ale - American,5.3,7,,3,5/21/15,United States,Boston,MA
Pale Ale,Sierra Nevada Brewing Co.,Pale Ale - American,5.6,38,,3.5,5/21/15,United States,Chico,CA
Spotted Cow,New Glarus Brewing Company,Saison / Farmhouse Ale,5.1,0,"Meh.  When this is the best beer at a place, you have to know the food probably won't be good either.  Mediocre beer...",2.75,5/22/15,United States,New Glarus,WI
IPA,Lagunitas Brewing Company,IPA - American,6.2,46,Solid,4.25,5/26/15,United States,Petaluma,CA
Hop Hunter IPA,Sierra Nevada Brewing Co.,IPA - American,6.2,60,"Really, really hoppy.  Pretty good, but a little bitter.",3.75,5/26/15,United States,Chico,CA
Torpedo Extra IPA,Sierra Nevada Brewing Co.,IPA - American,7.2,65,"A little bitter, but pretty good",4,5/28/15,United States,Chico,CA
Turbodog,Abita Brewing Company,Brown Ale - English,5.6,28,Carmelly and dark tastiness,4.25,5/28/15,United States,Abita Springs,LA
Ace Pumpkin Cider,Ace Cider (The California Cider Company),Cider,5,0,,3.5,5/28/15,United States,Sebastopol,CA
Public Access IPA,Public Craft Brewing Co.,IPA - Session / India Session Ale,4.8,37,Not too shabby,4,5/31/15,United States,Kenosha,WI
Sweet Colleen's Irish Red,Public Craft Brewing Co.,Red Ale - Irish,5.3,17,Caramel tasty,4,5/31/15,United States,Kenosha,WI
Public Access Session IPA,Public Craft Brewing Co.,IPA - Session / India Session Ale,4.7,0,Almost flavorless,1.5,5/31/15,United States,Kenosha,WI
Openbaar Saison Farmhouse Ale,Public Craft Brewing Co.,Saison / Farmhouse Ale,5.1,21,Meh. Not a fan of this style.,2,5/31/15,United States,Kenosha,WI
Public Pale Ale,Public Craft Brewing Co.,Pale Ale - American,5,32,Tastes a lot like Mirror Pond Ale,3,5/31/15,United States,Kenosha,WI
Perception Porter,Public Craft Brewing Co.,Porter - Other,4.5,20,Pretty solid porter,3.75,5/31/15,United States,Kenosha,WI
pseudoSue,Toppling Goliath Brewing,Pale Ale - American,5.8,50,Stellar!,4.5,6/5/15,United States,Decorah,IA
Golden Nugget IPA,Toppling Goliath Brewing,IPA - American,6.3,56,Solid IPA,4,6/5/15,United States,Decorah,IA
Smoove Opferator,Toppling Goliath Brewing,Brown Ale - American,5.5,50,Really strong brown flavor,4,6/5/15,United States,Decorah,IA
Rover Truck,Toppling Goliath Brewing,Stout - Oatmeal,5.7,35,Wow!  Delicious and smooth,4.5,6/5/15,United States,Decorah,IA
Furious,Surly Brewing Company,IPA - American,6.6,100,,4.25,6/6/15,United States,Minneapolis,MN
Double M.A.C.,Widmer Brothers Brewing,IPA - Session / India Session Ale,4.8,50,,4,6/20/15,United States,Portland,OR
Buoy 8 Strong,Astoria Brewing Co.,Strong Ale - English,7.2,0,,3.75,6/22/15,United States,Astoria,OR
Brutal India Pale Ale,Rogue Ales & Spirits,IPA - American,6,46,Very smooth,4.5,6/22/15,United States,Newport,OR
Hazelnut Brown Nectar,Rogue Ales & Spirits,Brown Ale - American,5.6,33,Near perfection!,4.75,6/24/15,United States,Newport,OR
Bengali Tiger,Sixpoint Brewery,IPA - American,6.4,62,,4,6/24/15,United States,Brooklyn,NY
Castaway IPA,Kona Brewing Company,IPA - American,6,65,,3.75,6/26/15,United States,Kailua-Kona,HI
North Coast Red Pacific Ale,Seaside Brewing Company,Red Ale - American Amber / Red,6.98,59,,3.5,6/29/15,United States,Seaside,OR
Stormcrow Stout,Seaside Brewing Company,Stout - Other,6.6,38,,3.25,6/29/15,United States,Seaside,OR
Fire Rock Pale Ale,Kona Brewing Company,Pale Ale - American,6,35,Caramelly and tasty,4,6/30/15,United States,Kailua-Kona,HI
Blood Orange Rustler IPA,Payette Brewing Co.,IPA - American,6.2,65,Starts with a slight orange flavor and ends with a lot of bitter hops,3.5,7/1/15,United States,Garden City,ID
La Chouffe,Brasserie d'Achouffe,Blonde Ale - Belgian Blonde / Golden,8,20,,3.75,7/1/15,Belgium,Achouffe,Luxembourg
Brown Porter,Waltz Brewing,Porter - Other,0,0,Yum!,4.5,7/2/15,United States,Forest Grove,OR
Little Bitter,Waltz Brewing,IPA - Session / India Session Ale,3.5,30,"A little too mild, but not bad for 3.5% ABV.",3.25,7/2/15,United States,Forest Grove,OR
Blueberry Berliner Weisse,Snipes Mountain Brewing,Fruit Beer,4,5,Not quite as much flavor as I would have liked.  Sour but the flavor just isn't there.,3,7/2/15,United States,Sunnyside,WA
Weihenstephaner Original,Bayerische Staatsbrauerei Weihenstephan,Lager - Helles,5.1,21,Not bad for a lager,3.5,7/4/15,Germany,Freising,Bayern
442 Nice Lady Ale,Lompoc Brewing,Pale Ale - American,4.8,0,Solid,4,7/4/15,United States,Portland,OR
Fish Tale Vicious Circle,Fish Brewing Company,Red Ale - American Amber / Red,5,35,,3.5,7/5/15,United States,Olympia,WA
Blackcat Porter,Mac & Jack's Brewing Company,Porter - American,4.8,0,,4,7/5/15,United States,Redmond,WA
African Amber,Mac & Jack's Brewing Company,Red Ale - American Amber / Red,5.6,0,,3.5,7/5/15,United States,Redmond,WA
Pinedrops IPA,Deschutes Brewery,IPA - American,6.5,70,Piney and tasty,4.25,7/6/15,United States,Bend,OR
Citrus Mistress IPA,Hop Valley Brewing Company,IPA - American,6.5,80,Love the grapefruit flavors of this one,4.5,7/7/15,United States,Eugene,OR
The Immortal IPA,Elysian Brewing,IPA - English,6.3,54,,3.75,7/8/15,United States,Seattle,WA
Boont Amber Ale,Anderson Valley Brewing Company,Red Ale - American Amber / Red,5.8,15,"Nice summer beer.  Lacking a little in flavor, but mild and pretty good.",3.75,7/9/15,United States,Boonville,CA
Easy Black IPA,10 Barrel Brewing Co.,IPA - Black / Cascadian Dark Ale,5.1,65,Session IBA!  Awesome for summer!,4,7/10/15,United States,Bend,OR
Schonz Red Session Ale,Pyramid Breweries,Red Ale - American Amber / Red,4.8,30,,3.25,7/11/15,United States,Seattle,WA
Black Butte Porter,Deschutes Brewery,Porter - American,5.2,30,Still one of my favorites!,4.75,7/11/15,United States,Bend,OR
Outburst Imperial IPA,Pyramid Breweries,IPA - Imperial / Double,8.5,80,Lots of flavor on this one.  One strong beer.,4,7/11/15,United States,Seattle,WA
Grapefruit Shandy,Jacob Leinenkugel Brewing Company,Radler,4.2,14,"Meh.  It's better than the other Leinie shandies, but the ""fruit"" flavor is still too fake for my tastes.",3,7/12/15,United States,Chippewa Falls,WI
Hop Smack,Cascade Lakes Brewing Company,IPA - American,6.4,82,,3,7/13/15,United States,Redmond,OR
Conviction Pale Ale,BridgePort Brewing Co.,Pale Ale - American,5.2,40,Thought the flavors were a little off,2.5,7/16/15,United States,Portland,OR
Drop Top Amber,Widmer Brothers Brewing,Red Ale - American Amber / Red,5,0,Smooth and slightly nutty,4,7/16/15,United States,Portland,OR
Gigantic IPA,Gigantic Brewing Company,IPA - American,7.3,85,That's good. That's mighty good.,4.5,7/17/15,United States,Portland,OR
Fruit Salad Cider,Rogue Ales & Spirits,Cider,6.4,0,,3,7/18/15,United States,Newport,OR
Cold Brew IPA,Rogue Ales & Spirits,IPA - American,7.5,82,"What an idea.  The flavors don't quite mesh, but it's pretty good.",3.5,7/18/15,United States,Newport,OR
Fresh Roast,Rogue Ales & Spirits,Brown Ale - American,5.7,37,Lots of German style here,4,7/18/15,United States,Newport,OR
7-Hop Cider,Rogue Ales & Spirits,Cider,6.9,0,Extra tart and a subtle hop flavor,3,7/18/15,United States,Newport,OR
American Amber Ale,Rogue Ales & Spirits,Red Ale - American Amber / Red,5.3,53,Extra malty but pretty smooth,3.5,7/18/15,United States,Newport,OR
Pamplemousse Citrus IPA,Lompoc Brewing,IPA - American,5.8,70,"Good, but not as citrusy as I like.",3.5,7/21/15,United States,Portland,OR
Profanity Hill Porter,Schooner Exact Brewing Company,Porter - Other,5.5,33,Excellent flavors,4.5,7/23/15,United States,Seattle,WA
Kiwanda Cream Ale,Pelican Brewing Company,Cream Ale,5.4,25,The best cream ale I have had.  Smooth and easy to drink with good flavor.,3.5,7/26/15,United States,Pacific City,OR
American Pale Ale,Knuth Brewing Company,Pale Ale - American,6,40,Needs more flavor.  Flattens out when I expected more hoppy taste.,2.5,8/1/15,United States,Ripon,WI
Spotted Cow,New Glarus Brewing Company,Saison / Farmhouse Ale,5.1,0,Likely my last Spotted Cow for a very long time.  For some reason it actually tastes pretty good today.,3.25,8/2/15,United States,New Glarus,WI
Downtown Brown,Pearl Street Brewery (Wisconsin),Brown Ale - English,5.5,0,Yum!,4,8/3/15,United States,LaCrosse,WI
Grapefruit Sculpin,Ballast Point Brewing & Spirits,IPA - American,7,70,Still great!,4.5,8/3/15,United States,San Diego,CA
Summer Ale,Summit Brewing Company,KÃ¶lsch,4.9,32,Decent summer beer,3,8/5/15,United States,St. Paul,MN
Wild Blue,Anheuser-Busch,Fruit Beer,8,0,,3.75,8/5/15,United States,St. Louis,MO
Fresh Bongwater Pale Ale,Kettlehouse Brewing Company,Pale Ale - American,5,0,My first hemp ale.  Not too shabby.,3.5,8/7/15,United States,Missoula,MT
River Session IPA,Kettlehouse Brewing Company,IPA - American,4.6,0,Meh.  Sessions are never as good as the real thing.,2.75,8/7/15,United States,Missoula,MT
Up 'n Smoke Porter,Kettlehouse Brewing Company,Smoked Beer,5.5,0,Smoked beers are an acquired taste that I do not have.,2.5,8/7/15,United States,Missoula,MT
Double Haul IPA,Kettlehouse Brewing Company,IPA - English,6.5,65,Solid English IPA.,4,8/7/15,United States,Missoula,MT
Orbiter IPA,Ecliptic Brewing,IPA - American,7.4,75,Delicious!,4.25,8/9/15,United States,Portland,OR
Capella Porter,Ecliptic Brewing,Porter - Other,5.2,39,Roasty and tasty,4.25,8/9/15,United States,Portland,OR
Phobos Single Hop Red Ale,Ecliptic Brewing,Red Ale - American Amber / Red,5.6,34,,4,8/9/15,United States,Portland,OR
Sagittarius B2N,Ecliptic Brewing,Saison / Farmhouse Ale,7,36,Overwhelming Belgian flavor,2.75,8/9/15,United States,Portland,OR
Hypernova Triple IPA,Ecliptic Brewing,IPA - Triple,12,88,Bam!  That's one strong IPA.,4,8/9/15,United States,Portland,OR
Spica Pilsner,Ecliptic Brewing,Pilsner - Other,5.5,38,Good flavor for a pilsner,3.5,8/9/15,United States,Portland,OR
Pilsner,Breakside Brewery,Pilsner - German,5.2,35,Solid summer beer,3.5,8/10/15,United States,Portland,OR
Dry Stout,Breakside Brewery,Stout - American,4.1,0,,4,8/10/15,United States,Portland,OR
Wanderlust IPA,Breakside Brewery,IPA - American,6.7,50,,4,8/10/15,United States,Portland,OR
India Golden Ale,Breakside Brewery,IPA - Imperial / Double,8.1,80,Just the right amount of fruity hints,4.5,8/10/15,United States,Portland,OR
Imperial Red,Breakside Brewery,Red Ale - Imperial / Double,8.1,93,,4,8/10/15,United States,Portland,OR
ESB,Breakside Brewery,Extra Special / Strong Bitter,6.2,0,,3.5,8/10/15,United States,Portland,OR
Helix Hoppy Lager,Ecliptic Brewing,Lager - IPL (India Pale Lager),5.8,55,Best lager out there!,4.25,8/11/15,United States,Portland,OR
IPA,Portland Brewing,IPA - American,6.5,70,,3,8/13/15,United States,Portland,OR
Kilmister's Pub Draught,McMenamins,English Bitter,4.13,36,,3,8/14/15,United States,Portland,OR
Workhorse IPA,Laurelwood Brewing Co.,IPA - American,7.5,80,Piney and subtley citrusy.  Excellent IPA with good hoppy and malty balance.,4.25,8/14/15,United States,Portland,OR
Hopsation,Woodchuck Cidery,Cider,5,0,Refreshing and nice balance with the hops and the apple flavor,4,8/15/15,United States,Middlebury,VT
Ramblers Amber Ale,Waltz Brewing,Red Ale - American Amber / Red,0,0,Roasty,4,8/15/15,United States,Forest Grove,OR
VIP Vanilla Infused Porter,Hop Valley Brewing Company,Porter - American,5.9,50,One of the best porters I have had.  Smooth and nice vanilla flavor.,4.5,8/16/15,United States,Eugene,OR
1554,New Belgium Brewing Company,Lager - Black,5.6,21,"This beer is excellent anytime.  Great nutty, smooth flavor.  One of my favorite beers.",4.75,8/17/15,United States,Fort Collins,CO
Gose the Gozerian,Laurelwood Brewing Co.,Gose,4.5,7,,4,8/21/15,United States,Portland,OR
Mother Lode Golden Ale,Laurelwood Brewing Co.,Golden Ale,5.1,25,,3.75,8/21/15,United States,Portland,OR
Free Range Red,Laurelwood Brewing Co.,Red Ale - American Amber / Red,6.2,60,,4.25,8/21/15,United States,Portland,OR
Red Elephant IRA,Laurelwood Brewing Co.,IPA - American,7,70,,3.5,8/21/15,United States,Portland,OR
Deranger Imperial Red,Laurelwood Brewing Co.,Red Ale - Imperial / Double,8.6,0,,4.25,8/21/15,United States,Portland,OR
Tree Hugger Porter,Laurelwood Brewing Co.,Porter - American,5.8,45,,4.25,8/21/15,United States,Portland,OR
Sapporo Premium Lager,Sapporo Breweries,Lager - Japanese Rice,4.7,0,,2.5,8/21/15,Japan,Shibuya-ku,Tokyo
Creekside Cranberry Perry,Bull Run Cider,Cider,5.5,0,,3.75,8/22/15,United States,Forest Grove,OR
Perry Pear Cider,Bull Run Cider,Cider,0,0,,3.5,8/22/15,United States,Forest Grove,OR
Twilight Summer Ale,Deschutes Brewery,Pale Ale - American,5,35,Pretty good.  Definitely tastes like a summer ale with a little more hop than most others.,3.75,8/23/15,United States,Bend,OR
Black Toad,Trader Joe's (JosephsBrau),Brown Ale - American,5.3,0,"Roasty, caramelly, and pretty smooth.  Extremely dark pour.",3.75,8/23/15,United States,San Jose,CA
JosephsBrau Dunkelweizen,Trader Joe's (JosephsBrau),Dunkelweizen,5.2,18,,3.25,8/24/15,United States,San Jose,CA
Oktoberfest - Brauhaus Riegele (2015),Sierra Nevada Brewing Co.,MÃ_rzen,6,30,First one of the season.  Not too shabby.,4,8/25/15,United States,Chico,CA
Inversion IPA,Deschutes Brewery,IPA - American,6.8,80,,4,8/26/15,United States,Bend,OR
Armored Fist CDA,Boneyard Beer Company,IPA - Imperial / Double Black,10,80,Citrusy black deliciousness,4.5,8/27/15,United States,Bend,OR
Becky's Black Cat,Seven Brides Brewing,Porter - Other,7,0,,3.75,8/28/15,United States,Silverton,OR
Stone IPA,Stone Brewing,IPA - American,6.9,77,One of the best IPAs out there!,4.5,8/30/15,United States,Escondido,CA
Asahi Super Dry,Asahi Breweries,Lager - Japanese Rice,5,16,Tasty with delicious sushi,3.75,9/1/15,Japan,Sumida-ku,Tokyo
Fish Tale Vicious Circle,Fish Brewing Company,Red Ale - American Amber / Red,5,35,,4,9/2/15,United States,Olympia,WA
Apricot Ale,Pyramid Breweries,Fruit Beer,5.1,11,Tasty as always,4.25,9/4/15,United States,Seattle,WA
Fuzzy Haven,Fox-Tail Cider,Cider,6.2,0,"Decent cider, but lacks peach flavor",3,9/5/15,United States,Hood River,OR
Holy Water(melon),Reverend Nat's Hard Cider,Cider,4.3,0,Unique. Cucumber start and watermelon finish.,4,9/5/15,United States,Portland,OR
Strawberry Blonde,Astoria Brewing Co.,Fruit Beer,6.1,10,Really lacking strawberry flavor,2,9/5/15,United States,Astoria,OR
Punkin Ale,Dogfish Head Craft Brewery,Pumpkin / Yam Beer,7,28,Tis the season,3.75,9/5/15,United States,Milton,DE
Damon Stoutamire,Ex Novo Brewing,Stout - American,6.5,57,"Wow, that is a strong stout!",3.5,9/5/15,United States,Portland,OR
Wookey Jack,Firestone Walker Brewing Company,IPA - Black / Cascadian Dark Ale,8.3,80,Excellent black IPA,4.25,9/5/15,United States,Paso Robles,CA
Fruit of the Garden of Good & Evil,Burnside Brewing Co. (Oregon),Fruit Beer,4.5,0,"Good, but a little too spicy on the end for my tastes",3.5,9/6/15,United States,Portland,OR
Toasted Coconut Chocolate Porter,Caldera Brewing Company,Porter - American,6.2,24,Yum!  Great flavor and smooth,4.5,9/6/15,United States,Ashland,OR
Stone Coffee Milk Stout,Stone Brewing,Stout - Milk / Sweet,5,40,,4.25,9/6/15,United States,Escondido,CA
Chocolate Stout,Rogue Ales & Spirits,Stout - American,5.8,69,,4,9/7/15,United States,Newport,OR
Arctic Blast Vanilla Porter,Vertigo Brewing,Porter - American,5.8,0,Tasty!,4.25,9/11/15,United States,Hillsboro,OR
"20"" Brown ",Cascade Lakes Brewing Company,Brown Ale - American,5.3,35,,4,9/14/15,United States,Redmond,OR
CoCoNut PorTeR,Maui Brewing Company,Porter - American,6,30,One of my favorites,4.75,9/15/15,United States,"Lahaina, Maui",HI
Strawberry Fields,Bull Run Cider,Cider,6.5,0,Summer seasonal.  Delicious!!!,4.5,9/17/15,United States,Forest Grove,OR
Anthem Cherry,Wandering Aengus Ciderworks,Cider,6.2,0,,4,9/17/15,United States,Salem,OR
Gigantic IPA,Gigantic Brewing Company,IPA - American,7.3,85,,4.5,9/18/15,United States,Portland,OR
1811 Lager,Fort George Brewery,Lager - North American Adjunct,5.1,0,Hoppy for a lager.  Not too bad.,3.5,9/19/15,United States,Astoria,OR
Quick Wit,Fort George Brewery,Witbier,5.5,0,Good for a Belgian.  Not my style though.,3.25,9/19/15,United States,Astoria,OR
Sunrise Oatmeal Pale Ale,Fort George Brewery,Pale Ale - American,5.2,0,Interesting oaty flavors mixed with hoppiness,3.75,9/19/15,United States,Astoria,OR
The Optimist,Fort George Brewery,IPA - American,6.2,50,"Big time hoppy flavors, but not too bitter",4,9/19/15,United States,Astoria,OR
Vortex IPA,Fort George Brewery,IPA - American,7.7,97,I can see why it's their flagship.  Great flavors!,4.5,9/19/15,United States,Astoria,OR
Working Girl Porter,Fort George Brewery,Porter - American,4.6,30,Strong flavors.  Almost more like a stout.  Still tasty though.,4.25,9/19/15,United States,Astoria,OR
Cavatica Stout,Fort George Brewery,Stout - American,8.8,0,A little too bitter for my tastes,2.75,9/19/15,United States,Astoria,OR
North VII,Fort George Brewery,IPA - Belgian,9,0,"If I liked Belgians, I would like this.",3,9/19/15,United States,Astoria,OR
3-Way IPA (2015),Fort George Brewery,IPA - American,5.7,70,,3.5,9/19/15,United States,Astoria,OR
Plaid Scotch Ale,Fort George Brewery,Scotch Ale / Wee Heavy,7,0,"The best scotch ale I have ever had, still strange though.",3.25,9/19/15,United States,Astoria,OR
The Road To Rye,Fort George Brewery,Rye Beer / Rye IPA,6,0,Missing a little flavor compared to their other IPAs but decent for a RyePA.,3,9/19/15,United States,Astoria,OR
"Anni, Are You Oak-Aged?",Fort George Brewery,Scotch Ale / Wee Heavy,9.7,0,Meh.  All I taste is whiskey.,2.5,9/19/15,United States,Astoria,OR
